Ticker,Name,last value,Open,Previous close,Book value per share,Change in percent,PE ratio,Div yield,Market cap,Yr End Price
HD,"Home Depot, Inc. (The) Common S",113.16,111.96,111.59,7.09,+1.41%,22.97,2.10,146880.0,104.97
JNJ,Johnson & Johnson Common Stock,100.09,100.36,99.98,24.45,+0.11%,17.91,3.00,277550.0,104.57
KMB,Kimberly-Clark Corporation Comm,107.98,108.03,107.49,0.53,+0.46%,27.74,3.20,39320.0,115.54
PG,Procter & Gamble Company (The) ,78.56,78.91,78.54,22.72,+0.03%,24.94,3.40,213130.0,91.09
TM,Toyota Motor Corporation Common,137.44,137.51,136.57,89.41,+0.64%,11.92,1.80,216250.0,125.48
MRK,"Merck & Company, Inc. Common St",60.39,60.66,60.24,16.89,+0.25%,15.69,3.00,170620.0,56.79
NVS,Novartis AG Common Stock,103.69,103.70,102.94,31.56,+0.73%,12.59,2.60,250970.0,92.66
CHK,Chesapeake Energy Corporation C,13.56,13.93,14.05,15.10,-3.49%,N/A,2.50,9000.0,19.57
COP,ConocoPhillips Common Stock,63.80,63.81,64.07,39.46,-0.42%,15.85,4.60,78660.0,69.06
PSX,Phillips 66 Common Stock,78.30,78.79,79.10,40.17,-1.01%,10.54,2.80,42410.0,71.70
INTC,Intel Corporation,32.73,33.21,33.27,11.58,-1.62%,13.95,2.80,155270.0,36.29
MSFT,Microsoft Corporation,46.85,47.36,46.92,11.11,-0.15%,19.45,2.60,379000.0,46.45
VZ,Verizon Communications Inc. Com,49.08,49.15,49.14,2.29,-0.12%,20.60,4.40,200170.0,46.78
VOD,Vodafone Group Plc,38.25,38.27,38.65,39.30,-1.03%,11.25,6.10,101320.0,34.17
PEG,Public Service Enterprise Group,41.34,42.28,42.29,24.83,-2.25%,12.23,3.60,20910.0,41.41
RTN,Raytheon Company Common Stock,102.20,103.33,102.78,31.73,-0.56%,14.46,2.60,31190.0,108.17
TIF,Tiffany & Co. Common Stock,93.92,94.39,94.02,22.34,-0.11%,26.31,1.60,12130.0,106.86
MBVT,"Merchants Bancshares, Inc.",30.85,30.16,30.14,20.30,+2.36%,16.24,3.80,195.28,30.63
KMX,CarMax Inc,72.81,72.15,72.10,15.11,+0.98%,26.67,N/A,15140.0,66.58
MMM,3M Company Common Stock,160.16,159.84,159.08,21.94,+0.68%,21.20,2.60,101600.0,164.32001
TGT,Target Corporation Common Stock,80.34,80.36,80.00,22.20,+0.42%,N/A,2.60,51290.0,75.91
DLTR,"Dollar Tree, Inc.",79.08,77.95,77.69,9.07,+1.79%,30.77,N/A,16309.999999999998,70.38
SNN,"Smith & Nephew SNATS, Inc. Comm",35.40,35.48,35.28,9.04,+0.34%,31.78,2.10,15820.0,36.74
SYK,Stryker Corporation Common Stoc,96.04,96.45,96.11,21.99,-0.07%,55.20,1.40,36340.0,94.33
GOOGL,Google Inc.,555.29,555.10,553.95,158.72,+0.24%,26.24,N/A,378930.0,530.65997
AAPL,Apple Inc.,130.12,130.74,129.96,22.39,+0.12%,16.17,1.60,749630.0,110.38
LLL,"L-3 Communications Holdings, In",118.46,118.14,117.59,63.32,+0.74%,17.10,2.20,9760.0,126.21
CMI,Cummins Inc. Common Stock,135.57,136.35,135.76,42.74,-0.14%,14.52,2.20,24440.0,144.17
IPCC,Infinity Property and Casualty ,73.99,72.31,72.49,61.73,+2.07%,14.71,2.40,848.37,77.26
ALTR,Altera Corporation,51.73,51.70,51.70,10.97,+0.06%,35.41,1.50,15580.0,36.94
TXN,Texas Instruments Incorporated,54.885,55.460,55.250,9.928,-0.661%,19.980,2.400,57100.0,53.47
JW-A,"John Wiley & Sons, Inc. Common ",58.42,58.03,58.16,18.48,+0.45%,21.01,1.80,3430.0,59.24
EVR,Evercore Partners Inc Class A C,53.40,52.33,52.03,13.36,+2.63%,27.80,2.20,1950.0,52.37
BOBE,"Bob Evans Farms, Inc.",46.59,46.00,45.94,15.78,+1.41%,47.01,2.70,1100.0,51.18
YUM,"Yum! Brands, Inc.",91.55,90.52,89.87,3.94,+1.87%,40.62,1.80,39590.0,72.85
IBM,International Business Machines,169.92,170.50,169.65,12.33,+0.16%,14.16,3.10,167330.0,160.44
ADI,"Analog Devices, Inc.",67.29,68.08,67.71,15.83,-0.62%,31.76,2.40,21100.0,55.52
MHLD,"Maiden Holdings, Ltd.",14.30,13.94,13.88,13.11,+3.03%,9.46,3.70,1050.0,12.79
CMP,Compass Minerals Intl Inc Commo,88.10,87.23,87.28,19.19,+0.94%,13.07,3.10,2970.0,86.83
SWK,"Stanley Black & Decker, Inc. Co",103.87,103.67,103.40,36.53,+0.45%,21.68,2.00,15970.0,96.08
BR,"Broadridge Financial Solutions,",54.23,54.05,53.81,7.55,+0.78%,25.85,2.00,6500.0,46.18
CR,Crane Company Common Stock,61.63,60.79,60.73,17.44,+1.48%,18.80,2.10,3570.0,58.70
ITW,Illinois Tool Works Inc. Common,95.08,94.72,94.61,13.54,+0.50%,12.76,2.10,34960.0,94.70
EMR,Emerson Electric Company Common,60.34,60.30,60.30,13.23,+0.07%,15.98,3.10,40330.0,61.73
BBY,"Best Buy Co., Inc. Common Stock",35.07,34.74,34.77,13.81,+0.86%,13.77,2.70,12360.0,38.98
RPM,RPM International Inc. Common S,50.47,50.10,50.04,9.24,+0.86%,30.83,2.10,6720.0,50.71
LEG,"Leggett & Platt, Incorporated C",47.50,47.43,47.39,8.03,+0.23%,58.14,2.60,6540.0,42.61
ABM,ABM Industries Incorporated Com,33.16,32.54,32.39,17.58,+2.38%,23.69,2.00,1860.0,28.65
CNSL,Consolidated Communications Hol,20.83,20.91,20.75,6.25,+0.39%,66.13,7.60,1050.0,27.83
MCHP,Microchip Technology Incorporat,48.02,48.53,48.28,10.14,-0.55%,29.10,2.90,9690.0,45.11
BP,BP p.l.c. Common Stock,41.23,41.52,41.50,36.26,-0.65%,44.33,5.80,125400.0,38.12
TOT,Total S.A.,51.08,51.21,50.77,41.78,+0.62%,32.72,5.30,116270.0,51.20
CVX,Chevron Corporation Common Stoc,102.17,102.40,102.58,82.85,-0.40%,11.15,4.20,192130.0,112.18
XOM,Exxon Mobil Corporation Common ,84.95,85.21,85.14,40.95,-0.22%,12.74,3.40,355190.0,92.45
RIG,Transocean Ltd (Switzerland) Co,19.05,19.18,19.28,36.33,-1.19%,N/A,3.20,6920.0,18.33
RDS-A,Royal Dutch Shell PLC Royal Dut,59.54,59.72,59.62,53.30,-0.13%,12.77,4.70,187620.0,66.95
ACHI,ACCRETIVE HEALTH INC,5.40,5.41,5.41,0.00,-0.18%,N/A,N/A,N/A,6.86
ANIK,Anika Therapeutics Inc.,33.64,33.09,33.15,12.20,+1.48%,19.10,N/A,501.40,40.74
APOL,"Apollo Education Group, Inc.",17.155,17.140,17.000,10.524,+0.912%,19.696,N/A,1850.0,34.11
AVID,AVID TECH INC,17.90,17.50,17.59,-8.71,+1.76%,124.31,N/A,708.37,14.21
HRB,"H&R Block, Inc. Common Stock",32.01,32.06,31.96,4.16,+0.16%,13.77,2.50,8810.0,33.68
BCOR,"Blucora, Inc.",16.46,16.04,16.00,12.92,+2.87%,N/A,0.00,673.38,13.85
BRCD,"Brocade Communications Systems,",12.435,12.200,12.140,5.889,+2.430%,16.298,1.500,5200.0,11.84
BKE,"Buckle, Inc. (The) Common Stock",44.02,43.26,43.24,7.91,+1.80%,13.34,2.10,2120.0,52.52
CSCO,"Cisco Systems, Inc.",29.09,29.21,29.08,11.55,+0.03%,16.90,2.90,147950.0,27.82
DLX,Deluxe Corporation Common Stock,64.52,64.35,63.94,13.61,+0.91%,16.36,1.80,3220.0,62.25
DEPO,"Depomed, Inc.",21.62,21.60,21.57,6.01,+0.23%,13.49,N/A,1300.0,16.11
ENTA,"Enanta Pharmaceuticals, Inc.",41.61,40.47,40.58,12.00,+2.54%,7.10,N/A,777.77,50.85
FLR,Fluor Corporation Common Stock,57.14,57.16,57.08,20.88,+0.11%,17.71,1.50,8380.0,60.63
GME,Gamestop Corporation Common Sto,43.72,43.99,43.97,19.20,-0.57%,12.60,3.30,4710.0,33.80
GILD,"Gilead Sciences, Inc.",114.65,114.28,113.94,11.64,+0.62%,13.07,1.50,168490.0,94.26
HPQ,Hewlett-Packard Company Common ,33.96,34.01,33.88,14.76,+0.24%,13.54,2.10,61600.0,40.13
IQNT,"Inteliquent, Inc.",18.22,17.61,17.57,4.82,+3.70%,15.18,3.40,611.19,19.63
IDCC,"InterDigital, Inc.",59.46,59.74,59.43,13.15,+0.05%,17.14,1.40,2140.0,52.90
KING,King Digital Entertainment plc ,15.05,14.80,14.67,2.35,+2.59%,7.97,0.00,4680.0,15.36
NSR,"Neustar, Inc. Neustar, Inc. Cla",29.02,28.42,28.28,11.39,+2.62%,9.44,N/A,1610.0,27.80
PDLI,"PDL BioPharma, Inc.",6.51,6.59,6.68,2.76,-2.54%,3.39,9.00,1070.0,7.71
PPC,Pilgrim's Pride Corporation,24.74,24.47,24.37,3.49,+1.52%,7.85,0.00,6420.0,32.79
PBI,Pitney Bowes Inc. Common Stock,21.93,21.97,21.90,0.27,+0.14%,12.08,3.40,4420.0,24.37
RPXC,RPX Corporation,16.00,15.85,15.80,9.34,+1.27%,18.37,N/A,868.37,13.78
STRA,"Strayer Education, Inc.",46.21,45.78,45.55,10.05,+1.45%,11.52,0.00,488.86,74.28
TSRA,"Tessera Technologies, Inc.",38.65,38.85,38.60,10.34,+0.13%,11.16,2.10,2029.9999999999998,35.76
UIS,Unisys Corporation New Common S,21.15,20.96,20.95,-28.69,+0.95%,19.73,0.00,1060.0,29.48
USNA,"USANA Health Sciences, Inc. Com",132.66,131.83,131.58,20.00,+0.82%,22.23,N/A,1690.0,102.59
VIAB,Viacom Inc.,68.215,66.600,66.090,5.800,+3.215%,16.047,2.400,27080.0,75.25
